,review,label
0,"stirring , funny finally transporting imagining beauty beast <number> horror films",1
1,apparently reassembled cutting room floor given daytime soap,0
2,"presume audience wo n't sit still sociology lesson , however entertainingly presented , trot conventional science fiction elements bug eyed monsters futuristic women skimpy clothes",0
3,"visually stunning rumination love , memory , history war art commerce",1
4,jonathan parker ' bartleby end modern office anomie films,1
5,campanella gets tone right funny middle sad middle hopeful,1
6,fan film uninitiated plays better video sound turned,0
7,"b art berling superb , huppert magnificent",1
8,"little less extreme past , longer exposition sequences , fewer gags break tedium",0
9,film strictly routine,0
10,lyrical metaphor cultural personal self discovery picaresque view little remembered world,1
11,repugnant adaptation classic text since roland joff demi moore ' scarlet letter,0
12,"something splendid looking particular film , viewer expects something special instead gets lrb sci fi rrb rehash",0
13,"stunning film , one kind tour de force",1
14,"may genial ingenious , gets job done",1
15,"freedom watching stunts crude , fast paced insane",1
16,"tuxedo actually suit , would fit chan like <number> bargain basement special",0
17,"quiet , patient tenacious mr lopez , approaches difficult , endless work remarkable serenity discipline",1
18,final verdict ' seen,0
19,"blue crush follows formula , throws many conflicts keep story compelling",0
20,get sense good intentions derailed failure seek strike right tone,0
21,"slick , engrossing melodrama",1
22,wretched movie reduces second world war one man ' quest find old flame,0
23,"undoubtedly play well european markets , mr besson brand name , asia , ms shu institution , american audiences probably find familiar insufficiently cathartic",0
24,lacks inspiration original bloated plot stretches running time <number> minutes past child ' interest adult ' patience,0
25,santa clause <number> proves streamlined thought encounter original could ever hoped,1
26,"film moody , oozing , chilling heart warming twisting , unpredictable , cat mouse thriller",1
27,bad,0
28,"strong first act absolutely , inescapably gorgeous , skyscraper trapeze motion amazing spider man",1
29,gooding offers desperately ingratiating performance,0
30,well intentioned effort ' still burdened actor ' offbeat sensibilities earnest emotional core emerge degree accessibility,0
31,fun ride,1
32,edgy thriller delivers surprising punch,1
33,` ' russian word wow ? <repeat> ',1
34,otto sallies real filmmaker ' eye,1
35,lurid less lucid work,0
36,parade almost perpetually wasted characters margarita feels like hazy high takes long shake,0
37,"could feel screenwriter every moment ` tap , tap , tap , tap , tapping away ' screenplay",0
38,"overall , cletis tout winning comedy excites imagination tickles funny bone",1
39,live mood rather savour story,1
40,movie thoughtlessly assembled,1
41,"body shaky , uncertain film nevertheless touches raw nerves",1
42,"' sincere work , would better diary documentary",1
43,"american adobo heart lrb palate rrb right place , brain little scattered ditsy , even",0
44,"unfolds wallop immediacy bullets start fly , first instinct duck",1
45,' lousy one,0
46,' fast slow,1
47,"' entertaining movie , effects , boosted size downtown hotel , take outer space",1
48,"uncompromising nonjudgmental , makes clear prostitute lonely needy clients",1
49,compellingly watchable,1
50,"despite comic sparks , welcome collinwood never catches fire",0
51,"though jackson n't always succeed integrating characters foreground extraordinarily rich landscape , must said imaginative filmmaker see forest trees",1
52,"spider man deliver , suspect might deliver",1
53,' worth taking kids,1
54,"without shakespeare ' eloquent language , update dreary sluggish",0
55,"dense , exhilarating documentary",1
56,"feels lrb ' rrb choke leash around neck director nick cassavetes give good , hard yank whenever wants feel something",0
57,poignant familiar story young person suspended two cultures,1
58,"methodical , measured , gently tedious comedy , secret ballot purposefully reductive movie may ' successful lodging brain",1
59,"though touch arthouse <number> poetic symbolism , heaven proves good match sensibilities two directors",1
60,superbly photographed staged mendes series riveting set pieces likes mainstream audiences rarely seen,1
61,metaphor modern day urban china searching identity,1
62,"' square , sentimental drama satisfies , comfort food often",1
63,"wonderfully lush morvern callar pure punk existentialism , ms ramsay co writer , liana dognini , dramatized alan warner novel , felt like answer irvine welsh ' book trainspotting",1
64,"admirers director abel ferrara may relieved latest feature , r xmas , marks modest encouraging return form",1
65,"rush save day become involved proceedings , matter ` eh '",0
66,ugly duckling tale hideously clumsily told feels accidental,0
67,becomes bit mishmash tearjerker n't thriller wo n't,0
68,could geeked heard apollo <number> going released imax format ?,1
69,"ambitious project fairly inexperienced filmmaker , good actors , good poetry good music help sustain",1
70,"successful relating history creating emotionally complex , dramatically satisfying heroine",0
71,cho ' timing priceless,1
72,criminal conspiracies true romances move easily across racial cultural lines film makes big fat greek wedding look like apartheid drama,1
73,' something said studio produced film never bothers hand viewers suitcase full easy answers,1
74,elevates movie run mill singles blender surreal sense humor technological finish,1
75,nicholson ' understated performance wonderful,1
76,"filmmakers know please eye , always prettiest pictures tell best story",1
77,"' unfortunate wallace , wrote gibson ' braveheart well recent pearl harbor , irrepressible passion sappy situations dialogue",0
78,"jackson shamefully strolls mess smug grin , inexplicably wearing kilt carrying bag golf clubs one shoulder",0
79,"fascinating curiosity piece fascinating , , ten minutes",0
80,,0
81,nolan proves cross swords best helm traditionally plotted popcorn thriller surrendering little intellectual rigor creative composure,1
82,"bond film goes beaten path , necessarily better",0
83,solemn pretension prevents us sharing awe holds,0
84,drama discloses almost nothing,0
85,"sham construct based theory , sleight hand , ill wrought hypothesis",0
86,isabelle huppert excels enigmatic mika anna mouglalis stunning new young talent one chabrol ' intense psychological mysteries,1
87,"like parade predecessors , halloween gory slash fest",1
88,perhaps best sports movie ' ever seen,1
89,pathetic junk barely hour long,0
90,"ou ' got love disney pic little cleavage one , heroine feisty principled jane",1
91,"gorgeous film vivid color , music life",1
92,playing role almost bergmanesque intensity bisset convincing radiant,1
93,trappings spy familiar might well watching rerun,0
94,treats ana ' journey honesty tragically rare depiction young women film,1
95,leigh makes lives count,1
96,"ambitious , unsettling psychodrama takes full , chilling advantage rough around edges , low budget constraints",1
97,"woodman seems directly influenced girl meets girl love story , even reassuring makers actually seem understand made allen ' romantic comedies pertinent enduring",1
98,could n't recommend film,1
99,"inexperienced director , mehta much learn",0
100,"taste , ' fizz",0
101,reworking die hard cliffhanger ' nowhere near exciting either,0
102,"moving tale love destruction unexpected places , unexamined lives",1
103,moments insightful enough fondly remembered endlessly challenging maze moviegoing,1
104,?,0
105,ararat went astray,0
106,vincent gallo right home french shocker playing usual bad boy weirdo role,1
107,"clockstoppers one crazy , mixed films n't know wants grows",0
108,"sandra bullock , despite downplaying good looks , carries little much ai n't cute baggage lead role troubled determined homicide cop quite pull heavy stuff",0
109,' mostly pleasure watch,1
110,spirit iconoclastic abandon however canned makes unexpectedly giddy viewing,1
111,"kilted jackson unsettling sight , indicative , , kilter character , rambles aimlessly ill conceived action pieces",0
112,n't find much fascination swinging,0
113,` ` waterboy ! ' ',0
114,"nerve raked acting , crackle lines , impressive stagings hardware , make robust scary entertainment",1
115,baby faced renner eerily convincing bland blank man unimaginable demons within,1
116,kind primal storytelling george lucas dream,1
117,"uplifting document worst possibilities mankind , among best films year",1
118,irwins ' scenes fascinating movie whole cheap junk insult death defying efforts,0
119,"' frightful vanity film , doubt , pays debt miramax felt owed benigni",0
120,"seems want , succeeds making neither",0
121,"turns fanciful , grisly engagingly quixotic",1
122,"release ron howard ' apollo <number> imax format proves absolutely really , really , really good things come enormous packages",1
123,"' never seen lrb remake rrb anything stomach turning way adam sandler ' new movie rapes , pillages incinerates frank capra ' classic",0
124,want jolted gourd drop everything run ichi,1
125,"mr deeds , comedy goes , silly best way",1
126,"amiable picture talks tough , ' bluster end ' sweet greenfingers",1
127,little eye best little ` ` horror ' ' movie ' seen years,1
128,"movie negligible work manipulation , exploitation piece usual worst guilt trip parents",0
129,may work jaunt memory lane teens young adults grew televised scooby doo shows reruns,1
130,suffers flat script low budget,0
131,"movie well done , slow",0
132,master disguise awful,0
133,film one year ' best,1
134,one year ' weirdly engaging unpredictable character pieces,1
135,"direction occasionally rises level marginal competence , film hard tell chasing",0
136,"three leads produce adequate performances , ' missing material depth feeling",0
137,"` ` looking leonard ' ' seems kinda sit neutral , hoping stiff wind blow uphill something",0
138,surprising thing film actually releasing theaters,0
139,one resurrection many,0
140,"oh , look clever angle !",1
141,", hate",0
142,"long time film succeeds dark , delicate treatment characters unerring respect",1
143,casting raymond j barry ` assassin ' greatly enhances quality neil burger ' impressive fake documentary,1
144,"film like sitting downtown caf , overhearing bunch typical late twenty somethings natter nothing , desperately wishing could change tables",0
145,"filmmakers want nothing else show us good time , cheap , b movie way , succeed",1
146,"rollicking ride , jaw dropping action sequences , striking villains , gorgeous color palette , astounding technology , stirring music boffo last hour leads strangely sinister happy ending",1
147,hour half joyful solo performance,1
148,contrived pastiche caper clich,0
149,"triumph , film hews world carries us effortlessly darkness light",1
150,"steven soderbergh ' digital video experiment clever cutting , quick dirty look modern living movie life",1
151,kinnear ' performance career defining revelation,1
152,"reminder used make movies , also sometimes still made",1
153,dragons real stars reign fire wo n't disappointed,1
154,"' <number> , iq <number> , driver ' license , able find better entertainment",0
155,"devotees french cinema , safe conduct rich period minutiae ' like dying going celluloid heaven",1
156,"scherfig , successful career tv , tackles handle",0
